set,epoch,mean_running_loss,std_running_loss,mse,mae,cs_0,cs_25
train,0,1584803.631555944,351460.4557590667,1585410.257655293,1248.0905511811025,0.0,0.0
eval,0,1117122.8033536586,39630.93552547004,1117233.595712098,1054.4624808575804,0.0,0.0
train,1,362874.814767264,250366.05237737927,363150.4956255468,555.420384951881,0.0,0.0
eval,1,99084.69945693598,25920.097394031214,99119.35222052067,266.9050535987749,0.0,0.9188361408882083
train,2,13920.759398560424,13804.58648956039,13928.715223097113,92.07305336832896,0.4811898512685914,17.3665791776028
eval,2,5606.408363900534,1318.193876454077,5608.323124042879,62.675344563552834,0.6125574272588056,23.27718223583461
train,3,4198.1412583998035,1199.9817346369693,4197.1447944006995,53.75284339457568,0.6124234470691163,26.64041994750656
eval,3,4262.921764838986,1389.1062799457213,4264.502297090352,53.617151607963244,0.3062787136294028,26.493108728943337
train,4,4202.70210148738,1226.1357755051954,4203.639982502187,53.63560804899387,0.5686789151356081,26.64041994750656
eval,4,5177.581974680831,1667.3503568879057,5170.554364471669,59.05666156202144,0.7656967840735069,26.952526799387442
train,5,3966.8079449847028,1188.5445528360922,3967.8937007874015,52.02843394575678,0.3499562554680665,27.64654418197725
eval,5,3786.243670207698,1235.5273821779608,3793.8269525267992,50.86830015313936,0.7656967840735069,29.402756508422666
train,6,3902.339930821132,1161.3084671228785,3901.1202974628172,51.57349081364829,0.4374453193350831,27.340332458442695
eval,6,3641.4582072932544,1322.917820390867,3649.5359877488513,49.67993874425727,0.3062787136294028,29.709035222052066
train,7,3745.7171366231423,1218.824684787729,3746.4706911636044,49.76727909011374,0.6124234470691163,32.1084864391951
eval,7,3574.321914300686,1066.697667286234,3573.8713629402755,48.87595712098009,0.7656967840735069,29.249617151607964
train,8,3486.888274079436,1023.9345310897652,3488.1504811898512,47.583552055993,0.6561679790026247,32.98337707786526
eval,8,3378.829768483232,1159.7002706272297,3372.8009188361407,46.17304747320061,1.5313935681470139,33.2312404287902
train,9,3382.452947443182,1174.043367114752,3384.6128608923887,46.12117235345582,0.4811898512685914,36.13298337707786
eval,9,3090.7241508669968,1196.5450916797743,3088.1010719754977,43.42113323124043,0.3062787136294028,37.67228177641654
train,10,2962.806536481097,1014.9396550893093,2963.71697287839,42.97069116360455,0.7874015748031495,38.71391076115486
eval,10,2726.20361328125,880.8979554772184,2727.1837672281777,40.963246554364474,0.6125574272588056,39.20367534456356
train,11,2712.050307480605,1052.626809524571,2711.5516185476818,40.95494313210849,1.0498687664041995,39.06386701662292
eval,11,2472.617008860518,842.7161583801754,2469.0980091883616,39.23583460949464,1.3782542113323124,41.65390505359878
train,12,2466.7596870902535,952.2341468960727,2467.3110236220473,39.08967629046369,0.5249343832020997,41.25109361329834
eval,12,2488.4175176853087,743.9771949663077,2490.5160796324653,39.750382848392036,0.9188361408882083,40.73506891271057
train,13,2221.1340933846427,859.0269156204857,2222.2904636920384,37.31846019247594,0.8311461067366579,43.00087489063867
eval,13,1825.8212622665778,759.6310198668571,1826.5130168453293,33.23889739663093,0.7656967840735069,47.47320061255743
train,14,2145.4018887606535,718.8731808582127,2145.501312335958,36.9002624671916,0.9186351706036745,41.77602799650044
eval,14,1822.5862530964177,585.363898762218,1824.854517611026,33.684532924961715,0.9188361408882083,45.94180704441042
train,15,1958.6665077476234,768.5198265354663,1958.1167979002626,34.840332458442695,0.9186351706036745,45.2755905511811
eval,15,1787.0484455387766,628.2263832119419,1786.6309341500767,33.62021439509954,2.2970903522205206,46.094946401225116
train,16,1899.0778147023875,767.4820268610755,1900.6504811898512,34.538495188101486,0.8311461067366579,45.49431321084864
eval,16,4333.771526057546,1354.4065159380089,4330.012251148545,54.70444104134763,0.6125574272588056,24.042879019908117
train,17,1858.576840060574,744.9314498362959,1860.0144356955382,33.90332458442695,0.9623797025371827,46.019247594050746
eval,17,1531.0461678853849,601.067255561026,1526.594180704441,30.71362940275651,0.7656967840735069,51.60796324655437
train,18,1747.9823821808075,789.9945599783406,1748.7257217847769,32.66097987751531,0.9186351706036745,48.55643044619423
eval,18,1935.22836973609,762.2671499915747,1936.6401225114855,34.55130168453292,0.45941807044410415,45.94180704441042
train,19,1706.8365896798514,714.7562134182929,1706.3009623797025,31.99737532808399,0.7874015748031495,50.13123359580053
eval,19,1481.0513261004191,487.18229839003067,1485.6937212863706,30.11332312404288,1.6845329249617151,51.60796324655437
train,20,1639.4945811024913,730.8446550322832,1639.4111986001749,31.397200349956254,1.0498687664041995,51.0498687664042
eval,20,1372.9729078339367,513.2826107869503,1374.7580398162327,29.006125574272588,1.3782542113323124,51.14854517611026
train,21,1544.0598872258113,643.9500003339806,1543.8976377952756,30.337707786526686,1.0936132983377078,52.31846019247593
eval,21,1385.8841701600609,616.7213966319338,1384.8300153139357,28.793261868300153,1.0719754977029097,53.13935681470138
train,22,1493.2737085302392,731.3860949097865,1493.100612423447,29.8416447944007,0.9186351706036745,52.75590551181102
eval,22,1385.7062415146247,579.0456474050202,1390.3200612557428,28.67228177641654,2.2970903522205206,53.44563552833078
train,23,1376.3645954265462,571.0726823998407,1376.8792650918635,28.84776902887139,1.268591426071741,54.46194225721784
eval,23,1696.0227341070408,572.1946377349944,1695.218989280245,32.437978560490045,1.0719754977029097,47.47320061255743
train,24,1428.3012146849733,621.3479569884394,1428.0966754155731,29.357392825896763,0.7436570428696413,53.84951881014873
eval,24,1352.415150712176,517.4573702592639,1348.427258805513,28.157733537519142,1.5313935681470139,54.211332312404295
train,25,1352.231695855414,635.215253064213,1352.7979002624672,28.511811023622048,1.7935258092738406,54.54943132108486
eval,25,2314.206735006193,824.7306020586572,2313.7534456355284,38.46094946401225,1.0719754977029097,39.20367534456356
train,26,1400.4840190327252,598.0178969721387,1402.007874015748,29.076115485564305,1.0498687664041995,52.6246719160105
eval,26,1413.5528132741044,608.4839791946509,1416.5022970903522,29.767228177641655,0.9188361408882083,53.13935681470138
train,27,1242.8458091895898,554.8022529698405,1243.8945756780402,27.632983377077867,1.0498687664041995,55.2930883639545
eval,27,938.4944000244141,447.0306588596452,939.3491577335375,23.171516079632465,1.3782542113323124,63.70597243491577
train,28,1255.9004283985057,506.77397551217575,1256.0017497812773,27.542432195975504,1.574803149606299,55.90551181102362
eval,28,1364.1054404654153,665.1577800429603,1368.04134762634,28.108728943338438,1.5313935681470139,56.202143950995406
train,29,1334.6090329043516,679.4093189237439,1336.046806649169,28.313648293963254,1.1811023622047243,55.46806649168854
eval,29,1596.1595659953791,643.5425240873509,1587.2970903522205,30.981623277182237,1.5313935681470139,50.535987748851454
train,30,1223.2192763748703,619.2742469796262,1224.3280839895012,26.926509186351705,1.1373578302712162,57.48031496062992
eval,30,1002.2891369331173,379.14724022031083,1004.4548238897397,25.11332312404288,0.9188361408882083,58.652373660030634
train,31,1220.5894724172313,609.9018489396569,1219.34864391951,26.774715660542434,1.3123359580052494,58.61767279090113
eval,31,1181.579679163491,408.87125874204816,1182.488514548239,27.30321592649311,0.9188361408882083,54.517611026033684
train,32,1263.5558614664144,583.1621858138859,1263.161854768154,27.546806649168854,1.2248468941382327,55.59930008748907
eval,32,1445.1036659798972,456.73218051735796,1445.1516079632465,29.240428790199083,1.5313935681470139,53.59877488514548
train,33,1104.704323935342,519.0288688546633,1105.5074365704288,25.31583552055993,1.6622922134733158,60.58617672790901
eval,33,2673.1821720774583,966.9597274276937,2679.882082695253,40.63246554364472,0.7656967840735069,38.13169984686064
train,34,1198.6238819469106,692.529628612458,1199.5166229221347,26.49825021872266,1.4435695538057742,58.00524934383202
eval,34,5299.872677686738,1453.031980587712,5302.624808575804,59.01071975497703,0.7656967840735069,28.483920367534456
train,35,1160.0957516756926,675.6074456934451,1160.492125984252,26.178915135608047,1.399825021872266,58.04899387576553
eval,35,1151.2320422661014,534.9498711417543,1151.9816232771823,25.601837672281775,1.5313935681470139,59.41807044410413
train,36,1137.3446326622595,566.2310459878846,1138.668416447944,25.88976377952756,1.2248468941382327,59.798775153105865
eval,36,1138.6985265220085,588.0291805579424,1142.310872894334,26.231240428790198,1.5313935681470139,56.35528330781011
train,37,1086.8577456174196,631.9969113168357,1086.668416447944,25.172353455818023,1.4435695538057742,59.01137357830272
eval,37,820.6926634253525,313.19149528457154,818.4946401225114,21.900459418070444,1.8376722817764166,64.93108728943339
train,38,1121.807074700202,617.6447921815092,1121.639545056868,25.88888888888889,1.4435695538057742,59.273840769903764
eval,38,909.5870681390529,419.75178896120434,910.2787136294028,23.274119448698315,0.7656967840735069,63.09341500765697
train,39,1087.927503679182,632.6487802300624,1088.9483814523185,25.42694663167104,0.8748906386701663,60.93613298337708
eval,39,856.0072229897104,363.25232985328836,857.1056661562021,22.36447166921899,1.3782542113323124,66.6156202143951
train,40,1032.6737547120847,506.26086744049417,1032.656605424322,24.562117235345582,1.7060367454068242,61.76727909011374
eval,40,1191.3368954542207,482.4639756938662,1189.7228177641655,27.404287901990813,1.2251148545176112,55.4364471669219
train,41,997.6957256610577,519.3214007635949,998.1526684164479,24.513998250218723,1.1373578302712162,60.84864391951006
eval,41,809.9232460580221,292.5632672901917,807.7611026033691,21.813169984686063,2.4502297090352223,66.7687595712098
train,42,1069.6338693045236,634.4225202119155,1069.7020997375328,25.28652668416448,1.268591426071741,59.62379702537183
eval,42,852.1242936297161,421.28579410152213,852.87595712098,22.72894333843798,1.5313935681470139,64.93108728943339
train,43,1036.168277126926,591.3621805124717,1035.325021872266,24.86045494313211,1.268591426071741,60.27996500437446
eval,43,1270.694485548066,585.56283694534,1268.6523736600307,25.996937212863706,1.2251148545176112,62.480857580398165
train,44,1157.606992388105,725.1134188976375,1157.5174978127734,25.54374453193351,1.4435695538057742,60.45494313210848
eval,44,877.906693249214,485.0566209235496,878.5114854517611,21.705972434915772,2.909647779479326,69.52526799387442
train,45,1023.0408324128264,665.26345185852,1022.7567804024497,24.484689413823272,1.6185476815398077,61.592300962379696
eval,45,1021.318308016149,420.9990109474933,1019.7090352220521,24.741194486983154,1.0719754977029097,59.724349157733535
train,46,1010.8913131393753,599.7573143932229,1011.3307086614174,24.00174978127734,1.1373578302712162,63.07961504811899
eval,46,666.5489546612995,394.79022399936133,660.1546707503828,19.392036753445634,1.8376722817764166,72.28177641653905
train,47,1085.9366920311134,584.2730273248523,1085.6990376202975,24.93175853018373,1.0936132983377078,61.50481189851269
eval,47,901.8701019287109,396.5802010375876,899.9264931087289,22.361408882082696,1.3782542113323124,67.68759571209802
train,48,951.8903110744236,568.8492802718552,952.4588801399825,23.677602799650042,1.6185476815398077,63.47331583552056
eval,48,728.8471035841035,301.9507415345283,727.7779479326186,20.669218989280246,1.5313935681470139,69.67840735068913
train,49,962.9700224549621,543.4000919138485,962.7314085739282,23.601049868766403,1.531058617672791,63.56080489938758
eval,49,1112.2447762838224,344.3744430442745,1112.4548238897396,26.819295558958654,1.2251148545176112,53.59877488514548
train,50,955.3428902792764,649.6049756681855,954.913823272091,23.635608048993877,1.2248468941382327,63.51706036745407
eval,50,995.38638901129,364.3089101621436,995.385911179173,24.644716692189892,1.6845329249617151,57.58039816232772
train,51,1109.7981541773656,746.9476352048065,1109.2830271216098,25.38713910761155,1.3560804899387575,59.667541557305334
eval,51,863.1038587616711,344.8945992708369,861.4441041347626,22.21592649310873,1.3782542113323124,65.84992343032158
train,52,931.4365755094515,571.8505010867499,931.7878390201225,23.2830271216098,1.6185476815398077,63.91076115485564
eval,52,855.8575171493902,317.50223903411535,855.0673813169984,23.51761102603369,1.5313935681470139,61.102603369065854
train,53,926.9309053220949,601.1310504213059,927.5813648293963,23.332020997375327,1.574803149606299,63.86701662292214
eval,53,1143.0038400045255,418.9578493282921,1145.7733537519143,26.474732006125574,1.3782542113323124,55.895865237366
train,54,903.5362582440143,548.3975798583326,902.7279090113735,22.744531933508313,1.7060367454068242,66.40419947506561
eval,54,698.5051664026772,296.99564885584493,698.2297090352221,20.088820826952528,2.2970903522205206,71.66921898928025
train,55,943.6241165908067,649.7530822436692,944.2489063867016,23.520122484689413,1.399825021872266,62.46719160104986
eval,55,726.9728572194169,249.78368292931492,727.8698315467075,21.321592649310873,1.5313935681470139,65.5436447166922
train,56,880.3625948179018,578.3350381747521,880.9680664916885,22.730971128608925,1.2248468941382327,65.44181977252843
eval,56,1029.088969905202,365.1029995633687,1030.614088820827,25.413476263399694,1.2251148545176112,59.264931087289426
train,57,958.3349580564699,628.858957119125,958.51312335958,23.69772528433946,1.2248468941382327,62.642169728783905
eval,57,922.4572731576314,445.511269042592,923.1133231240428,22.889739663093415,0.9188361408882083,65.3905053598775
train,58,896.3708481155076,572.0431811655627,896.8635170603675,22.8915135608049,2.0559930008748903,64.69816272965879
eval,58,1196.9230428556116,414.322353540092,1199.551301684533,27.575803981623277,0.6125574272588056,54.517611026033684
train,59,879.0556631021566,593.3483392285724,878.9238845144357,22.440069991251093,1.7497812773403325,66.22922134733157
eval,59,751.176102801067,370.96359014283064,748.8897396630935,20.978560490045943,1.3782542113323124,67.3813169984686
train,60,850.8803605299729,547.5504909628598,849.9330708661417,22.066054243219597,1.7497812773403325,66.7979002624672
eval,60,1072.4440650009528,291.2887554322622,1074.3353751914242,26.41500765696784,0.9188361408882083,54.36447166921899
train,61,969.0659801776593,674.6904389679345,970.1281714785652,23.92344706911636,1.7935258092738406,62.16097987751531
eval,61,802.36491728992,302.48805129577096,802.2098009188361,21.869831546707506,1.2251148545176112,66.7687595712098
train,62,863.8212664410785,553.5241418765758,863.2646544181978,22.331146106736657,1.268591426071741,65.96675415573053
eval,62,629.18620635242,319.3895570003693,625.0781010719755,18.73813169984686,1.6845329249617151,73.35375191424195
train,63,871.5115263612121,571.6771256249908,872.2038495188101,22.38057742782152,2.012248468941382,65.96675415573053
eval,63,1845.9826853682355,746.1407574714611,1835.9494640122512,35.53292496171516,0.6125574272588056,39.05053598774885
train,64,854.5446646096823,500.8810497648232,854.2095363079615,22.5673665791776,1.8810148731408576,65.17935258092739
eval,64,2390.8033521698744,1067.018147967292,2396.147013782542,38.27258805513017,0.9188361408882083,39.96937212863706
train,65,2132.63108900377,950.3549250132883,2133.2961504811897,35.688976377952756,0.7874015748031495,46.36920384951881
eval,65,7991.362513100229,2662.997820515046,7993.3460949464015,74.92036753445636,0.3062787136294028,19.754977029096477
train,66,1686.8917257669088,680.4300166781193,1687.7738407699037,32.164916885389324,1.3560804899387575,48.20647419072616
eval,66,1816.6936541301448,668.2552913928685,1817.9555895865237,33.388973966309344,0.6125574272588056,47.166921898928024
train,67,1551.957920741368,690.5940733029272,1552.749343832021,31.014435695538058,0.7874015748031495,50.39370078740157
eval,67,1360.9047911108994,688.2837859866695,1365.0566615620214,28.186830015313937,1.9908116385911179,55.4364471669219
train,68,1222.3459099189386,607.8550236923272,1221.929571303587,27.089676290463693,1.1811023622047243,55.68678915135607
eval,68,830.3191736733041,352.4055451114617,830.9356814701379,22.191424196018378,1.3782542113323124,66.15620214395099
train,69,1122.050720641663,614.3490572261106,1121.7510936132983,25.85433070866142,1.1811023622047243,59.186351706036746
eval,69,985.7991392554306,322.29116627343194,984.5604900459418,24.67687595712098,0.9188361408882083,59.57120980091884
train,70,982.221104975347,476.7261625136189,983.7300962379702,24.019685039370078,1.268591426071741,61.98600174978127
eval,70,893.9914945276772,338.0468250743795,896.8882082695253,22.56049004594181,2.2970903522205206,64.47166921898928
train,71,884.6666961883332,446.7903028529142,885.5726159230096,22.909448818897637,1.968503937007874,64.52318460192475
eval,71,831.0778287561928,311.0816225300081,831.1791730474732,22.223583460949463,1.2251148545176112,66.4624808575804
train,72,876.002412595949,502.36857915966635,874.81583552056,22.5,1.574803149606299,65.44181977252843
eval,72,981.7470115103373,392.5873149746218,981.8790199081163,24.36906584992343,0.9188361408882083,60.949464012251156
train,73,1042.8520998654665,619.3124242836918,1043.2423447069116,24.78215223097113,1.4873140857392826,60.06124234470691
eval,73,833.6369048327934,344.5739242854524,835.4915773353752,21.69678407350689,1.2251148545176112,68.91271056661562
train,74,1034.4902657462167,672.051692447452,1034.5748031496064,24.495188101487315,1.837270341207349,61.76727909011374
eval,74,973.5032653808594,397.885694482191,975.0689127105666,24.018376722817763,1.2251148545176112,62.78713629402757
train,75,950.1827809793966,698.79189177574,950.7537182852144,23.177165354330707,1.2248468941382327,64.78565179352582
eval,75,722.5102896341464,326.7169805301863,724.7503828483921,20.575803981623277,1.9908116385911179,68.75957120980092
train,76,906.9055011455829,545.9140491516148,906.2073490813648,23.05336832895888,1.268591426071741,63.823272090988624
eval,76,804.6201104885195,399.2588466417501,803.7258805513017,21.79938744257274,0.9188361408882083,66.6156202143951
